InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
539645,21034,rex cash+carry jumbo shopper,1,12/20/2010 16:03,0.95,17230,United Kingdom,0.95
539646,21034,rex cash+carry jumbo shopper,30,12/20/2010 16:04,0.95,17230,United Kingdom,28.5
539647,22098,boudoir square tissue box,1,12/20/2010 16:08,1.25,15460,United Kingdom,1.25
539653,22809,set of 6 t-lights santa,1,12/20/2010 16:50,2.95,13564,United Kingdom,2.95
539654,22413,metal sign take it or leave it,12,12/20/2010 17:05,2.95,17340,United Kingdom,35.4
539655,84949,silver hanging t-light holder,-24,12/20/2010 17:07,1.45,13089,United Kingdom,-34.8
539657,22348,tea bag plate red retrospot,-12,12/20/2010 17:24,0.85,16134,United Kingdom,-10.2
539658,85123A,white hanging heart t-light holder,6,12/21/2010 9:34,2.95,17213,United Kingdom,17.7
539659,22425,enamel colander cream,2,12/21/2010 9:47,4.95,15034,United Kingdom,9.9
539660,21892,traditional wooden catch cup game,2,12/21/2010 9:48,1.25,15581,United Kingdom,2.5
539661,15036,assorted colours silk fan,-48,12/21/2010 10:16,0.75,12971,United Kingdom,-36
539662,22835,hot water bottle i am so poorly,8,12/21/2010 10:18,4.65,14135,United Kingdom,37.2
539663,84006,magic tree -paper flowers,2,12/21/2010 10:26,0.85,17961,United Kingdom,1.7
539664,22834,hand warmer babushka design,12,12/21/2010 10:30,2.1,14135,United Kingdom,25.2
539666,84880,white wire egg holder,12,12/21/2010 10:41,4.95,16029,United Kingdom,59.4
539667,85131A,beaded pearl heart white on stick,-6,12/21/2010 10:47,0.42,13148,United Kingdom,-2.52
539675,22807,set of 6 t-lights toadstools,12,12/21/2010 10:51,2.95,12971,United Kingdom,35.4
539676,20685,doormat red retrospot,2,12/21/2010 10:54,7.95,12423,Belgium,15.9
539688,C2,carriage,1,12/21/2010 11:00,150,12678,France,150
539707,22890,novelty biscuits cake stand 3 tier,-2,12/21/2010 12:17,9.95,18223,United Kingdom,-19.9
539709,84978,hanging heart jar t-light holder,-1,12/21/2010 12:33,1.25,18176,United Kingdom,-1.25
539710,82483,wood 2 drawer cabinet white finish,-1,12/21/2010 12:35,5.95,14769,United Kingdom,-5.95
539711,22720,set of 3 cake tins pantry design,-1,12/21/2010 12:38,4.95,13319,United Kingdom,-4.95
539712,POST,postage,-1,12/21/2010 12:40,5.75,15602,United Kingdom,-5.75
539716,22834,hand warmer babushka design,24,12/21/2010 12:57,0.85,17990,United Kingdom,20.4
539717,22457,natural slate heart chalkboard,6,12/21/2010 13:03,2.95,15208,United Kingdom,17.7
539719,82613D,metal sign cupcake single hook,-20,12/21/2010 13:15,0.42,14643,United Kingdom,-8.4
539720,84879,assorted colour bird ornament,16,12/21/2010 13:22,1.69,16996,United Kingdom,27.04
539721,22616,pack of 12 london tissues,1296,12/21/2010 13:34,0.25,17306,United Kingdom,324
539722,21733,red hanging heart t-light holder,6,12/21/2010 13:45,2.95,14911,EIRE,17.7
539723,21621,vintage union jack bunting,10,12/21/2010 13:49,8.5,14737,United Kingdom,85
539724,22504,cabin bag vintage retrospot,30,12/21/2010 13:53,12.75,13029,United Kingdom,382.5
539725,22112,chocolate hot water bottle,3,12/21/2010 13:58,4.95,17211,United Kingdom,14.85
539726,22791,t-light glass fluted antique,-10,12/21/2010 14:24,1.25,17007,United Kingdom,-12.5
539727,22933,baking mould easter egg milk choc,6,12/21/2010 14:26,2.95,12678,France,17.7
539728,22693,grow a flytrap or sunflower in tin,24,12/21/2010 14:26,1.25,16270,United Kingdom,30
539730,22464,hanging metal heart lantern,12,12/21/2010 14:54,1.65,13487,United Kingdom,19.8
539731,21212,pack of 72 retrospot cake cases,240,12/21/2010 15:05,0.42,14646,Netherlands,100.8
539732,22138,baking set 9 piece retrospot,6,12/21/2010 15:09,4.95,16996,United Kingdom,29.7
539752,22215,cake stand white two tier lace,2,12/21/2010 15:43,8.5,12515,Italy,17
539754,85150,ladies & gentlemen metal sign,2,12/21/2010 16:06,2.55,12748,United Kingdom,5.1
539755,84968A,set of 16 vintage rose cutlery,1,12/21/2010 16:08,12.75,17961,United Kingdom,12.75
539760,84077,world war 2 gliders asstd designs,48,12/21/2010 17:16,0.29,17400,United Kingdom,13.92
539761,20705,mrs robot soft toy,8,12/22/2010 10:29,1.95,17593,United Kingdom,15.6
539762,62018,sombrero,400,12/22/2010 10:29,1.25,13953,United Kingdom,500
539764,20704,mr robot soft toy,8,12/22/2010 11:07,1.95,14533,United Kingdom,15.6
539766,21889,wooden box of dominoes,6,12/22/2010 11:11,1.25,14092,United Kingdom,7.5
539826,22723,set of 6 herb tins sketchbook,2,12/22/2010 12:39,3.95,15044,United Kingdom,7.9
539827,22745,poppy's playhouse bedroom,-1,12/22/2010 12:43,2.1,15044,United Kingdom,-2.1
539828,82483,wood 2 drawer cabinet white finish,4,12/22/2010 12:44,5.95,15044,United Kingdom,23.8
539829,82613D,metal sign cupcake single hook,20,12/22/2010 12:47,0.42,12734,France,8.4
539830,22943,christmas lights 10 vintage baubles,-8,12/22/2010 13:13,4.95,14944,United Kingdom,-39.6
539831,22476,empire union jack tv dinner tray,1,12/22/2010 13:17,4.95,14606,United Kingdom,4.95
539832,85123A,white hanging heart t-light holder,-1,12/22/2010 13:20,2.55,17239,United Kingdom,-2.55
539835,22835,hot water bottle i am so poorly,4,12/22/2010 13:39,4.65,16477,United Kingdom,18.6
539836,22713,card i love london,12,12/22/2010 13:46,0.42,17894,United Kingdom,5.04
539837,22690,doormat home sweet home blue,2,12/22/2010 13:48,7.95,14532,United Kingdom,15.9
539838,22198,large popcorn holder,-10,12/22/2010 13:59,1.65,13458,United Kingdom,-16.5
539840,21121,set/10 red polkadot party candles,24,12/22/2010 14:28,1.25,12383,Belgium,30
539857,47567B,tea time kitchen apron,-1,12/22/2010 15:13,4.65,15358,United Kingdom,-4.65
539858,84029G,knitted union flag hot water bottle,48,12/22/2010 16:19,3.39,18092,United Kingdom,162.72
539859,21192,white bell honeycomb paper,30,12/22/2010 16:23,1.65,17905,United Kingdom,49.5
539864,51008,afghan slipper sock pair,39,12/23/2010 9:55,3.45,15562,United Kingdom,134.55
539865,22041,"record frame 7"" single size",48,12/23/2010 9:59,2.1,15587,United Kingdom,100.8
539866,22300,coffee mug dog + ball design,-3,12/23/2010 10:20,2.55,12427,Germany,-7.65
539867,85123A,white hanging heart t-light holder,6,12/23/2010 10:38,2.95,13922,United Kingdom,17.7
539920,21773,decorative rose bathroom bottle,4,12/23/2010 11:06,1.25,14085,United Kingdom,5
539921,22748,poppy's playhouse kitchen,1,12/23/2010 11:09,2.1,12748,United Kingdom,2.1
539933,10135,colouring pencils brown tube,10,12/23/2010 11:24,1.25,15235,United Kingdom,12.5
539943,22892,set of salt and pepper toadstools,-1,12/23/2010 11:36,1.25,14032,United Kingdom,-1.25
539944,22776,sweetheart cakestand 3 tier,-1,12/23/2010 11:38,9.95,14560,United Kingdom,-9.95
539945,84970S,hanging heart zinc t-light holder,-1,12/23/2010 11:40,0.85,17069,United Kingdom,-0.85
539946,22326,round snack boxes set of4 woodland,6,12/23/2010 11:46,2.95,13817,Germany,17.7
539947,21363,home small wood letters,-6,12/23/2010 11:47,4.95,13854,United Kingdom,-29.7
539949,22083,paper chain kit retrospot,-6,12/23/2010 11:49,2.95,17581,United Kingdom,-17.7
539950,85099C,jumbo  bag baroque black white,-1,12/23/2010 11:50,1.95,13534,United Kingdom,-1.95
539953,85018D,yuletide images s/6 paper boxes,1,12/23/2010 12:03,2.55,12748,United Kingdom,2.55
539954,72802A,rose scent candle in jewelled box,12,12/23/2010 12:04,3.81,13777,United Kingdom,45.72
539956,35004C,set of 3 coloured  flying ducks,-15,12/23/2010 12:55,4.65,12980,United Kingdom,-69.75
539957,22138,baking set 9 piece retrospot,3,12/23/2010 12:58,4.95,12585,Germany,14.85
539978,21199,pink  heart confetti in tube,48,12/23/2010 14:06,0.42,13165,United Kingdom,20.16
539981,21155,red retrospot peg bag,6,12/23/2010 14:35,2.1,13304,United Kingdom,12.6
539982,22746,poppy's playhouse livingroom,1,12/23/2010 14:40,2.1,15311,United Kingdom,2.1
539983,82483,wood 2 drawer cabinet white finish,-6,12/23/2010 14:49,4.95,15856,United Kingdom,-29.7
539984,C2,carriage,1,12/23/2010 14:58,50,14911,EIRE,50
539985,84029G,knitted union flag hot water bottle,24,12/23/2010 15:16,3.39,15856,United Kingdom,81.36
539987,90160C,turq+red boudicca large bracelet,1,12/23/2010 15:32,6.95,12748,United Kingdom,6.95
539988,16206B,red purse with pink heart,2,12/23/2010 16:06,1.25,18116,United Kingdom,2.5
539993,22386,jumbo bag pink polkadot,10,1/4/2011 10:00,1.95,13313,United Kingdom,19.5
540001,21733,red hanging heart t-light holder,32,1/4/2011 10:22,2.55,18097,United Kingdom,81.6
540002,21911,garden metal sign,12,1/4/2011 10:23,1.65,16656,United Kingdom,19.8
540003,84970S,hanging heart zinc t-light holder,12,1/4/2011 10:37,0.85,16875,United Kingdom,10.2
540004,84946,antique silver tea glass etched,72,1/4/2011 10:37,1.06,13094,United Kingdom,76.32
540005,84813,set of 4 diamond napkin rings,8,1/4/2011 10:38,3.95,17315,United Kingdom,31.6
540006,21306,set/4 daisy mirror magnets,-1,1/4/2011 10:48,2.1,14606,United Kingdom,-2.1
540007,21055,tool box soft toy,-6,1/4/2011 11:08,8.95,15379,United Kingdom,-53.7
540013,22794,sweetheart wire magazine rack,1,1/4/2011 11:30,7.95,16255,United Kingdom,7.95
540014,21654,ridged glass finger bowl,1,1/4/2011 11:34,1.45,14606,United Kingdom,1.45
540015,22985,"wrap, billboard fonts design",25,1/4/2011 11:40,0.42,13319,United Kingdom,10.5
540016,22862,love heart napkin box,8,1/4/2011 11:42,4.25,16282,United Kingdom,34
540017,22222,cake plate lovebird white,12,1/4/2011 11:48,1.95,13963,United Kingdom,23.4
540019,84992,72 sweetheart fairy cake cases,24,1/4/2011 12:18,0.55,12957,United Kingdom,13.2
540020,21621,vintage union jack bunting,4,1/4/2011 12:45,8.5,14462,United Kingdom,34
540021,20668,disco ball christmas decoration,24,1/4/2011 12:51,0.12,17841,United Kingdom,2.88
540022,22647,ceramic love heart money bank,36,1/4/2011 12:57,0.42,17188,United Kingdom,15.12
540023,22315,200 red + white bendy straws,1,1/4/2011 12:58,1.25,15039,United Kingdom,1.25
540024,15056N,edwardian parasol natural,4,1/4/2011 13:03,5.95,15039,United Kingdom,23.8
540025,21631,hippy chic decorative parasol,12,1/4/2011 13:22,3.95,17428,United Kingdom,47.4
540027,82551,laundry 15c metal sign,12,1/4/2011 13:30,1.45,14210,United Kingdom,17.4
540028,21258,victorian sewing box large,2,1/4/2011 13:38,12.75,14180,United Kingdom,25.5
540029,22207,frying pan union flag,24,1/4/2011 13:47,3.75,16029,United Kingdom,90
540030,22070,small red retrospot mug in box,-24,1/4/2011 13:47,3.75,16029,United Kingdom,-90
540031,21907,i'm on holiday metal sign,2,1/4/2011 13:50,2.1,17975,United Kingdom,4.2
540032,22722,set of 6 spice tins pantry design,8,1/4/2011 13:50,3.95,13397,United Kingdom,31.6
540033,47591D,pink fairy cake childrens apron,25,1/4/2011 14:12,1.65,13680,United Kingdom,41.25
540040,22264,felt farm animal white bunny,48,1/4/2011 14:20,0.19,12483,Sweden,9.12
540043,84879,assorted colour bird ornament,16,1/4/2011 14:21,1.69,15164,United Kingdom,27.04
540057,POST,postage,-1,1/4/2011 14:29,40,12483,Sweden,-40
540059,70006,love heart pocket warmer,120,1/4/2011 14:33,0.42,17457,United Kingdom,50.4
540060,22722,set of 6 spice tins pantry design,4,1/4/2011 14:40,3.95,14732,United Kingdom,15.8
540073,22720,set of 3 cake tins pantry design,4,1/4/2011 14:47,4.95,16814,United Kingdom,19.8
540093,21733,red hanging heart t-light holder,1,1/4/2011 15:24,2.95,16725,United Kingdom,2.95
540094,22782,set 3 wicker storage baskets,4,1/4/2011 15:33,9.95,14221,United Kingdom,39.8
540095,47590B,pink happy birthday bunting,2,1/4/2011 15:40,5.45,14553,United Kingdom,10.9
540096,21615,4 lavender botanical dinner candles,12,1/4/2011 15:43,1.25,13253,United Kingdom,15
540097,22835,hot water bottle i am so poorly,-4,1/4/2011 15:46,4.65,15373,United Kingdom,-18.6
540098,22084,paper chain kit empire,2,1/4/2011 15:50,2.95,16241,United Kingdom,5.9
540099,22844,vintage cream dog food container,3,1/4/2011 16:41,8.5,15808,United Kingdom,25.5
540109,85071A,blue charlie+lola personal doorsign,-150,1/4/2011 17:12,2.95,17389,United Kingdom,-442.5
540112,21735,two door curio cabinet,-18,1/4/2011 17:14,10.95,15973,United Kingdom,-197.1
540113,22776,sweetheart cakestand 3 tier,1,1/5/2011 9:11,9.95,13126,United Kingdom,9.95
540114,22865,hand warmer owl design,36,1/5/2011 9:44,2.1,15498,United Kingdom,75.6
540115,22021,blue felt easter egg basket,6,1/5/2011 9:51,1.65,15235,United Kingdom,9.9
540120,22720,set of 3 cake tins pantry design,6,1/5/2011 10:08,4.95,17675,United Kingdom,29.7
540121,21632,vintage pink decorative parasol,12,1/5/2011 10:35,3.95,16145,United Kingdom,47.4
540122,22473,tv dinner tray vintage paisley,40,1/5/2011 10:39,1.95,13694,United Kingdom,78
540126,21109,large cake towel chocolate spots,48,1/5/2011 10:45,1.95,13798,United Kingdom,93.6
540130,85123A,white hanging heart t-light holder,128,1/5/2011 10:46,2.55,13798,United Kingdom,326.4
540129,22352,lunch box with cutlery retrospot,-3,1/5/2011 10:46,2.55,12578,Italy,-7.65
540142,22667,recipe box retrospot,-2,1/5/2011 10:50,2.95,12782,Portugal,-5.9
540146,84968C,set of 16 vintage pistachio cutlery,1,1/5/2011 10:51,12.75,15002,United Kingdom,12.75
540148,21110,large cake towel pink spots,24,1/5/2011 10:58,1.95,14189,United Kingdom,46.8
540149,84992,72 sweetheart fairy cake cases,24,1/5/2011 11:00,0.55,12921,United Kingdom,13.2
540151,21843,red retrospot cake stand,-1,1/5/2011 11:13,10.95,12494,France,-10.95
540152,22666,recipe box pantry yellow design,-1,1/5/2011 11:21,2.95,12395,Belgium,-2.95
540153,85123A,white hanging heart t-light holder,32,1/5/2011 11:25,2.55,15841,United Kingdom,81.6
540156,21843,red retrospot cake stand,-1,1/5/2011 11:36,10.95,12683,France,-10.95
540157,22242,5 hook hanger magic toadstool,96,1/5/2011 11:41,1.45,15311,United Kingdom,139.2
540158,22968,rose cottage keepsake box,-2,1/5/2011 11:42,9.95,12471,Germany,-19.9
540159,84817,danish rose decorative plate,48,1/5/2011 11:47,0.42,16112,United Kingdom,20.16
540160,84997B,red 3 piece retrospot cutlery set,216,1/5/2011 11:50,3.39,15769,United Kingdom,732.24
540161,85123A,white hanging heart t-light holder,7,1/5/2011 11:52,2.95,16719,United Kingdom,20.65
540162,21749,large red retrospot windmill,6,1/5/2011 11:52,2.1,13089,United Kingdom,12.6
540163,21985,pack of 12 hearts design tissues,48,1/5/2011 11:52,0.29,13089,United Kingdom,13.92
540164,85049A,traditional christmas ribbons,-12,1/5/2011 12:02,1.25,14911,EIRE,-15
540165,84817,danish rose decorative plate,-1,1/5/2011 12:05,2.1,18109,United Kingdom,-2.1
540166,85099F,jumbo bag strawberry,100,1/5/2011 12:09,1.65,13629,United Kingdom,165
540167,84916,hand towel pale blue w flowers,10,1/5/2011 12:13,1.25,16600,United Kingdom,12.5
540168,22241,garland wooden happy easter,6,1/5/2011 12:15,1.25,13715,United Kingdom,7.5
540169,22187,green christmas tree card holder,1,1/5/2011 12:20,4.25,14527,United Kingdom,4.25
540170,21314,small glass heart trinket pot,24,1/5/2011 12:21,2.1,13767,United Kingdom,50.4
540171,D,discount,-1,1/5/2011 12:26,22.97,14527,United Kingdom,-22.97
540172,21292,small stripes chocolate gift bag,16,1/5/2011 12:29,0.85,18109,United Kingdom,13.6
540173,22469,heart of wicker small,80,1/5/2011 12:32,1.45,15661,United Kingdom,116
540174,79321,chilli lights,24,1/5/2011 12:35,4.25,16353,United Kingdom,102
540175,79321,chilli lights,480,1/5/2011 12:37,3.98,16532,United Kingdom,1910.4
540176,79321,chilli lights,24,1/5/2011 12:40,4.25,17511,United Kingdom,102
540178,22966,gingerbread man cookie cutter,12,1/5/2011 12:42,1.25,12681,France,15
540177,22781,gumball magazine rack,-4,1/5/2011 12:42,7.65,16316,United Kingdom,-30.6
540179,22470,heart of wicker large,4,1/5/2011 12:54,2.95,16033,United Kingdom,11.8
540180,85123A,white hanging heart t-light holder,2,1/5/2011 13:05,2.95,15984,United Kingdom,5.9
540181,84945,multi colour silver t-light holder,192,1/5/2011 13:09,0.72,13199,United Kingdom,138.24
540182,10135,colouring pencils brown tube,20,1/5/2011 13:29,0.42,14739,United Kingdom,8.4
540183,21754,home building block word,12,1/5/2011 13:37,5.95,15093,United Kingdom,71.4
540184,22782,set 3 wicker storage baskets,4,1/5/2011 13:40,9.95,15266,United Kingdom,39.8
540185,48194,doormat hearts,1,1/5/2011 13:40,7.95,14653,United Kingdom,7.95
540187,22027,tea party birthday card,12,1/5/2011 13:53,0.42,15358,United Kingdom,5.04
540188,72741,grand chocolatecandle,9,1/5/2011 13:57,1.45,16771,United Kingdom,13.05
540239,21977,pack of 60 pink paisley cake cases,24,1/5/2011 14:48,0.55,12682,France,13.2
540240,21879,hearts gift tape,24,1/5/2011 15:09,0.19,17585,United Kingdom,4.56
540242,22521,childs garden trowel pink,1,1/5/2011 15:30,0.85,15046,United Kingdom,0.85
540243,22851,set 20 napkins fairy cakes design,-1,1/5/2011 15:32,0.85,12585,Germany,-0.85
540244,71459,hanging jam jar t-light holder,-1,1/5/2011 15:40,0.85,17213,United Kingdom,-0.85
540245,21787,rain poncho retrospot,144,1/5/2011 15:42,0.65,13082,United Kingdom,93.6
540246,22423,regency cakestand 3 tier,-1,1/5/2011 15:43,12.75,13081,United Kingdom,-12.75
540247,20785,fuschia retro bar stool,1,1/5/2011 15:56,39.95,15464,United Kingdom,39.95
540248,22457,natural slate heart chalkboard,6,1/5/2011 15:57,2.95,15034,United Kingdom,17.7
540249,22966,gingerbread man cookie cutter,12,1/5/2011 16:00,1.25,15298,United Kingdom,15
540250,79321,chilli lights,-1,1/5/2011 16:02,4.25,17511,United Kingdom,-4.25
540251,84968E,set of 16 vintage black cutlery,1,1/5/2011 16:06,12.75,12748,United Kingdom,12.75
540253,21524,doormat spotty home sweet home,30,1/5/2011 16:28,6.75,13225,United Kingdom,202.5
540257,22222,cake plate lovebird white,1,1/5/2011 17:33,4.95,12748,United Kingdom,4.95
540258,20914,set/5 red retrospot lid glass bowls,96,1/6/2011 8:52,2.55,14045,United Kingdom,244.8
540259,10135,colouring pencils brown tube,40,1/6/2011 9:00,0.42,18226,United Kingdom,16.8
540260,21781,ma campagne cutlery box,2,1/6/2011 9:40,14.95,13097,United Kingdom,29.9
540261,22262,felt egg cosy chicken,12,1/6/2011 9:57,0.85,13089,United Kingdom,10.2
540262,47591D,pink fairy cake childrens apron,147,1/6/2011 10:01,1.65,14045,United Kingdom,242.55
540263,22467,gumball coat rack,36,1/6/2011 10:03,2.1,18062,United Kingdom,75.6
540264,22197,small popcorn holder,600,1/6/2011 10:20,0.72,17949,United Kingdom,432
540265,21275,zinc top  2 door wooden shelf,1,1/6/2011 10:46,16.95,15271,United Kingdom,16.95
540267,22078,ribbon reel lace design,120,1/6/2011 11:12,1.85,12415,Australia,222
540268,20725,lunch bag red retrospot,10,1/6/2011 11:25,1.65,13458,United Kingdom,16.5
540269,22730,alarm clock bakelike ivory,4,1/6/2011 11:39,3.75,14135,United Kingdom,15
540270,20725,lunch bag red retrospot,-1,1/6/2011 11:40,1.45,14680,United Kingdom,-1.45
540271,M,manual,-1,1/6/2011 11:51,1126,12503,Spain,-1126
540273,20854,blue patch purse pink heart,14,1/6/2011 11:57,1.65,17368,United Kingdom,23.1
540274,22800,antique tall swirlglass trinket pot,20,1/6/2011 11:59,3.75,14618,United Kingdom,75
540275,20728,lunch bag cars blue,30,1/6/2011 12:11,1.65,13680,United Kingdom,49.5
540276,85099C,jumbo  bag baroque black white,30,1/6/2011 12:16,1.95,14680,United Kingdom,58.5
540277,82494L,wooden frame antique white,72,1/6/2011 12:18,2.55,14258,United Kingdom,183.6
540278,48187,doormat new england,1,1/6/2011 12:31,7.95,15719,United Kingdom,7.95
540279,22910,paper chain kit vintage christmas,12,1/6/2011 12:32,2.95,13368,United Kingdom,35.4
540280,21422,porcelain rose small,80,1/6/2011 12:37,0.85,12386,Australia,68
540288,22926,ivory giant garden thermometer,1,1/6/2011 12:45,5.95,17634,United Kingdom,5.95
540307,22107,pizza plate in box,-8,1/6/2011 12:58,3.75,15823,United Kingdom,-30
540316,22481,black tea towel classic design,24,1/6/2011 13:00,0.42,16676,United Kingdom,10.08
540345,84988,set of 72 pink heart paper doilies,12,1/6/2011 13:19,1.45,14299,United Kingdom,17.4
540346,22077,6 ribbons rustic charm,-4,1/6/2011 13:41,1.65,12471,Germany,-6.6
540348,22087,paper bunting white lace,4,1/6/2011 13:56,2.95,12841,United Kingdom,11.8
540347,22191,ivory diner wall clock,-6,1/6/2011 13:56,8.5,16424,United Kingdom,-51
540349,70006,love heart pocket warmer,30,1/6/2011 14:07,0.42,15379,United Kingdom,12.6
540350,22356,charlotte bag pink polkadot,1,1/6/2011 14:14,0.85,18283,United Kingdom,0.85
540351,22645,ceramic heart fairy cake money bank,12,1/6/2011 14:26,1.45,12735,France,17.4
540353,21500,pink polkadot wrap,25,1/6/2011 14:53,0.42,13764,United Kingdom,10.5
540354,21065,boom box speaker girls,24,1/6/2011 14:58,1.25,13576,United Kingdom,30
540357,22334,dinosaur party bag + sticker set,8,1/6/2011 15:14,1.65,13093,United Kingdom,13.2
540358,20801,large pink glass sundae dish,16,1/6/2011 15:25,0.75,13599,United Kingdom,12
540359,51014A,"feather pen,hot pink",12,1/6/2011 15:29,0.85,18041,United Kingdom,10.2
540360,84985A,set of 72 green paper doilies,-5,1/6/2011 15:35,1.45,18041,United Kingdom,-7.25
540361,22360,glass jar english confectionery,24,1/6/2011 15:41,2.55,13408,United Kingdom,61.2
540362,22356,charlotte bag pink polkadot,5,1/6/2011 15:42,0.85,13656,United Kingdom,4.25
540363,40016,chinese dragon paper lanterns,600,1/6/2011 15:54,0.25,12971,United Kingdom,150
540364,22720,set of 3 cake tins pantry design,4,1/6/2011 16:03,4.95,14505,United Kingdom,19.8
540365,22748,poppy's playhouse kitchen,6,1/6/2011 16:12,2.1,12413,France,12.6
540366,20719,woodland charlotte bag,-30,1/6/2011 16:14,0.72,15061,United Kingdom,-21.6
540367,POST,postage,-3,1/6/2011 16:17,18,12413,France,-54
540370,22791,t-light glass fluted antique,72,1/6/2011 16:25,1.06,13094,United Kingdom,76.32
540371,22776,sweetheart cakestand 3 tier,2,1/6/2011 16:35,9.95,14312,United Kingdom,19.9
540372,21726,multi hearts  stickers,12,1/6/2011 16:41,0.85,13081,United Kingdom,10.2
540373,21466,red flower crochet food cover,5,1/6/2011 17:10,3.75,13280,United Kingdom,18.75
540374,22197,small popcorn holder,24,1/6/2011 17:19,0.85,15845,United Kingdom,20.4
540376,22623,box of vintage jigsaw blocks,-1,1/6/2011 17:27,4.95,13488,United Kingdom,-4.95
540377,21911,garden metal sign,-12,1/6/2011 17:31,1.65,16656,United Kingdom,-19.8
540378,21445,12 pink rose peg place settings,-4,1/6/2011 17:32,1.25,13715,United Kingdom,-5
540379,84279P,cherry blossom  decorative flask,-2,1/6/2011 17:34,3.75,15101,United Kingdom,-7.5
540380,84945,multi colour silver t-light holder,-7,1/6/2011 17:36,0.85,16094,United Kingdom,-5.95
540381,22962,jam jar with pink lid,-1,1/6/2011 17:37,0.72,16705,United Kingdom,-0.72
540382,21868,potting shed tea mug,-4,1/6/2011 17:38,1.25,12957,United Kingdom,-5
540383,47590B,pink happy birthday bunting,50,1/6/2011 17:47,4.65,16422,United Kingdom,232.5
540384,22384,lunch bag pink polkadot,-1,1/6/2011 17:48,1.65,14961,United Kingdom,-1.65
540385,21843,red retrospot cake stand,-1,1/6/2011 17:52,10.95,14426,United Kingdom,-10.95
540386,22060,large cake stand hanging hearts,-1,1/6/2011 17:57,9.95,12417,Belgium,-9.95
540387,22175,pink owl soft toy,6,1/6/2011 17:58,2.95,16306,United Kingdom,17.7
540388,85048,15cm christmas glass ball 20 lights,-1,1/6/2011 17:59,7.95,13115,United Kingdom,-7.95
540389,20752,blue polkadot washing up gloves,-1,1/6/2011 18:00,2.1,14426,United Kingdom,-2.1
540390,22701,pink dog bowl,-2,1/6/2011 18:01,2.95,16191,United Kingdom,-5.9
540391,22274,feltcraft doll emily,-1,1/6/2011 18:02,2.95,13047,United Kingdom,-2.95
540392,21155,red retrospot peg bag,-1,1/6/2011 18:06,2.1,12753,Japan,-2.1
540393,21843,red retrospot cake stand,-1,1/6/2011 18:08,10.95,17428,United Kingdom,-10.95
540394,22649,strawberry fairy cake teapot,-1,1/6/2011 18:09,4.95,17696,United Kingdom,-4.95
540395,22846,bread bin diner style red,1,1/6/2011 18:24,16.95,14702,United Kingdom,16.95
540396,37370,retro coffee mugs assorted,144,1/6/2011 18:33,1.06,14031,United Kingdom,152.64
540397,21068,vintage billboard love/hate mug,1,1/6/2011 18:57,1.25,13187,United Kingdom,1.25
540398,84792,enchanted bird coathanger 5 hook,-2,1/7/2011 9:21,4.65,14047,United Kingdom,-9.3
540399,84792,enchanted bird coathanger 5 hook,2,1/7/2011 9:23,4.65,14047,United Kingdom,9.3
540400,22768,family photo frame cornice,-4,1/7/2011 9:25,9.95,16150,United Kingdom,-39.8
540401,22423,regency cakestand 3 tier,48,1/7/2011 9:31,10.95,16013,United Kingdom,525.6
540402,20679,edwardian parasol red,3,1/7/2011 9:31,5.95,16567,United Kingdom,17.85
540403,85123A,white hanging heart t-light holder,-1,1/7/2011 9:32,2.55,17230,United Kingdom,-2.55
540404,22929,school desk and chair,2,1/7/2011 9:40,65,12947,United Kingdom,130
540405,22499,wooden union jack bunting,48,1/7/2011 9:50,4.95,14828,United Kingdom,237.6
540406,20711,jumbo bag toys,100,1/7/2011 9:53,1.65,13798,United Kingdom,165
540407,22791,t-light glass fluted antique,72,1/7/2011 9:55,1.06,16839,United Kingdom,76.32
540408,85123A,white hanging heart t-light holder,250,1/7/2011 9:55,2.55,16013,United Kingdom,637.5
540409,22423,regency cakestand 3 tier,16,1/7/2011 10:00,10.95,16019,United Kingdom,175.2
540410,84078A,set/4 white retro storage cubes,4,1/7/2011 10:04,34.95,12530,Germany,139.8
540411,90057,diamante ring assorted in box.,24,1/7/2011 10:24,1.25,16551,United Kingdom,30
540412,22907,pack of 20 napkins pantry design,12,1/7/2011 10:27,0.85,13842,United Kingdom,10.2
540413,47566,party bunting,5,1/7/2011 10:29,4.65,15194,United Kingdom,23.25
540414,21880,red retrospot tape,24,1/7/2011 10:32,0.19,12481,Germany,4.56
540415,22666,recipe box pantry yellow design,3,1/7/2011 10:47,2.95,16889,United Kingdom,8.85
540416,22777,glass cloche large,2,1/7/2011 10:55,8.5,16473,United Kingdom,17
540417,79321,chilli lights,-72,1/7/2011 10:56,4.25,13680,United Kingdom,-306
540420,84816,danish rose bedside cabinet,2,1/7/2011 11:13,39.95,12829,United Kingdom,79.9
540452,21137,black record cover frame,96,1/7/2011 11:49,3.39,13750,United Kingdom,325.44
540453,47559B,tea time oven glove,50,1/7/2011 11:54,1.06,13426,United Kingdom,53
540454,22720,set of 3 cake tins pantry design,24,1/7/2011 11:57,4.25,16191,United Kingdom,102
540455,21086,set/6 red spotty paper cups,12,1/7/2011 12:07,0.65,12583,France,7.8
540456,22780,light garland butterfiles pink,4,1/7/2011 12:14,4.25,13534,United Kingdom,17
